ego,n_nodes,n_labelled,n_circles,lou_k,lei_k,lou_Q,lei_Q,lou_nmi,lou_ari,lei_nmi,lei_ari
14840869,72,17,2,4,4,0.21919614984391275,0.2228668054110301,0.21036605515589685,0.1398809523809524,0.010635226949138973,0.030418250950570557
14843763,56,14,2,3,3,0.29970988895627415,0.29970988895627415,0.0,0.0,0.0,0.0
14869783,201,10,2,6,7,0.23201529797373308,0.2494772723089134,0.19826661220276096,0.12280701754386002,0.19826661220276096,0.12280701754386002
14893314,154,17,2,5,6,0.43731604424479975,0.43823536427826965,0.5721141197032288,0.5134680134680134,0.5721141197032288,0.5134680134680134
14917050,84,28,2,4,4,0.20492794216221386,0.2151371333269494,0.632676340376433,0.7199511897498481,0.38700999566032984,0.4955752212389381
14922225,170,51,6,4,4,0.2574520849502373,0.258049953062226,0.3014068598765341,0.10495028158867527,0.3014068598765341,0.10495028158867527
14936377,59,24,3,4,4,0.20751425229947396,0.20904659160648598,0.5130175410204317,0.36253583943931195,0.5248737164819227,0.3453789574672209
14957252,205,39,5,5,5,0.34606269230932685,0.3456913546863977,0.48063121738011705,0.21280338082100106,0.48063121738011705,0.21280338082100106
14984096,80,45,7,6,5,0.21841344833748116,0.21685531356645069,0.3267322280973625,0.0991467895621845,0.34824547889295193,0.133211443875055
15001424,46,14,2,5,4,0.2531111111111111,0.2415333333333333,0.34069910748226506,0.16438969764837594,0.45687774292541294,0.49209302325581367
15012486,198,51,8,3,3,0.1523784264820759,0.15298216702631084,0.3719046582886095,0.19992326141550606,0.39883626202125566,0.19732826010195892
15070932,207,21,2,3,3,0.2566976238642063,0.25790035401915873,0.0007041306297521175,-0.040540540540540584,0.043829172338738,-0.05769230769230771
15099384,102,42,3,6,5,0.29573867760197414,0.2962728171723036,0.4538517948581367,0.1823361823361822,0.40898648268574467,0.18103704805832443
151175266,163,57,3,3,3,0.23730006509856305,0.24206945923085493,0.11846267553513218,0.12109006230725644,0.026947732546053448,-0.005333002604489537
15129912,95,43,3,6,6,0.2840960713530234,0.2870991680797867,0.2768890137824213,0.15813953488372112,0.2430797160524024,0.14076050700466958
151495845,194,139,3,4,4,0.12162446049564844,0.11465983294274945,0.030138813885209934,0.025675143684071075,0.06416248747831073,0.019611212324875345
15164892,162,29,2,7,7,0.3808830375021699,0.3933868936456285,0.5973668992749993,0.39924670433145004,0.5923331451559036,0.3789276223229638
152062126,173,22,2,6,6,0.33511654183508244,0.3358447972603058,0.2689750473508255,0.1550068587105622,0.2689750473508255,0.1550068587105622
152388029,128,28,3,4,4,0.15685287030319098,0.15992966377861081,0.21692374932558955,0.035059760956175134,0.2046406163711118,0.05775049710382964
152435436,210,88,4,4,5,0.3668759965682079,0.36652132606306603,0.41813643019173563,0.19713954357294522,0.4257874808155079,0.16508204426972048
15292446,229,20,3,3,4,0.1419041212329538,0.14728801958344862,0.271536405648824,0.1675314193473998,0.3856501050287788,0.21505876876527386
153245741,220,17,3,6,5,0.35887915362821315,0.3668982334895914,0.22569539386147805,0.11493123772102157,0.22492617792463426,0.2070895522388064
15329577,246,25,2,4,4,0.41679463696552865,0.41961257764467774,1.0,1.0,1.0,1.0
15331855,122,25,2,5,5,0.2684878653272829,0.2718608942661128,0.7716535730144787,0.6613407433136502,0.8358024885849604,0.8019714838936806
15335809,202,63,4,4,4,0.16974268120778066,0.1649126874828028,0.1833864340565196,0.024115601495568358,0.11782040792211987,0.01724405645077812
15347317,160,39,3,7,7,0.3136410319255772,0.31449453519318243,0.3944117311256039,0.2065801961404619,0.4119299528096422,0.21130167638307623
15419775,115,83,3,5,5,0.2937540473642533,0.2977159553325581,0.22428611079708008,0.08665372492373603,0.2533911836419824,0.09424802946771717
154648125,79,13,2,7,6,0.31810383793556873,0.2993456196581198,0.7472884849622757,0.7099391480730219,0.7472884849622756,0.7099391480730219
154701532,226,67,2,4,5,0.3425448188903336,0.34284973327891377,0.4290104261020161,0.4680659086735095,0.41273328987379043,0.44132204638849837
15477120,183,14,2,6,5,0.26606052043951217,0.27149749184506994,0.28354391631865494,0.03378378378378399,0.2506370482435139,0.009673518742442558
15481789,225,43,4,6,6,0.38496383532105655,0.3839885223608859,0.5827306101181791,0.5185008855287466,0.5827306101181791,0.5185008855287466
1548841,179,64,4,6,7,0.2093841800140348,0.20519659724440553,0.3799489149092202,0.32263412543561854,0.31871645689066924,0.17684002976390395
155661154,203,101,18,4,5,0.13076512406449636,0.1360314931311592,0.21081104882649657,0.1727192544190908,0.16642157237364777,0.13753307601160303
155976326,134,73,4,7,6,0.25122678190274766,0.25349123453437605,0.4882915258412643,0.1731549338096588,0.5423096246742797,0.23515642544958257
15647676,189,62,3,4,4,0.2671795665377872,0.26721559680113477,0.44260526473154216,0.4441143431846673,0.4278080418582237,0.4318416016487564
15706128,80,69,3,5,5,0.19595611626920548,0.1877975068338204,0.150133983035971,0.10268067420439801,0.15327929732993836,0.10036662833044496
158414847,77,30,2,4,3,0.1426249883749768,0.1473854353958708,0.08786910458232915,0.06159549904061964,0.01655066708616618,0.053866880200837394
15849055,222,139,3,5,5,0.43039784863590413,0.43192312654960857,0.8215856417442526,0.9121914217441832,0.8168547895179786,0.8737565703797259
15864197,149,36,4,6,6,0.4686304604486423,0.46583234946871305,0.3464843489890272,0.1475895502289252,0.3562834871471523,0.12695574430040232
15938936,235,13,2,5,4,0.2613243445497342,0.2631709174128315,0.8526854484053238,0.897637795275591,0.8526854484053238,0.897637795275591
15947217,88,25,3,9,10,0.44605288378163754,0.44473854747583547,0.6089997553674513,0.4341615531636651,0.6055548753912421,0.42759590279172494
159588456,211,48,4,3,3,0.3160283305354087,0.3166883296406034,0.4036742531918126,0.4920098919169984,0.5072562067446418,0.5697846359694513
159629146,192,78,3,6,6,0.2878755893109772,0.28811419280472544,0.04300324488668622,-0.03128444350430304,0.01629272555237761,-0.034102638789696806
15989218,228,13,2,5,5,0.23461613225086855,0.23602949823892239,0.17892478830894468,-0.020942408376963456,0.2569607234526681,-0.03174603174603171
160237722,160,10,12,4,4,0.101637644025526,0.1015310179477191,0.7670157643006521,0.6572361262241565,0.5897099087898255,0.5192307692307695
16027078,121,27,2,5,5,0.30505140153436977,0.3115506141719389,0.8192158559419775,0.8203484878830365,0.5206409004099037,0.5497453310696095
160839015,72,29,4,5,5,0.15856038072575848,0.1766752594355212,0.3099393831092331,0.19585030056234265,0.31564320356364484,0.11760744459409798
1608991,192,47,5,7,7,0.14505550608132997,0.14680066164299685,0.23848649060937502,0.10296411856474262,0.2604698383060703,0.08525995082849396
16105942,51,23,3,4,3,0.16308938094080852,0.1641967270242882,0.45284800173344303,0.34240501490711733,0.4971080538923675,0.49904597328725203
16183380,238,44,9,6,6,0.24303695805505962,0.24521226291630854,0.2717104827211954,0.04001804053482651,0.31692713556856733,0.05764444139111871
16212913,154,41,2,5,5,0.3736586289609897,0.38340550435551063,0.4187836769387358,0.2433412030725234,0.412965708358768,0.2332971872441188
16234125,140,27,2,6,5,0.4243354925173106,0.4239249859642982,0.12529394068123487,0.12819377322525377,0.28124809670297646,0.2878260869565215
16247469,234,13,2,5,5,0.29892249618888367,0.29897249450219354,0.6800399206086363,0.69047619047619,0.6800399206086363,0.69047619047619
16279105,94,15,3,4,4,0.44462624648921645,0.4446520137081605,0.634936214290762,0.41217634709587125,0.634936214290762,0.41217634709587125
16285517,164,29,2,6,6,0.325984383895803,0.3262955044865849,0.1009922852829666,-0.15749730312837099,0.1009922852829666,-0.15749730312837099
16305227,132,12,3,5,5,0.5390183213697065,0.5457311771865763,0.77250688571426,0.6399999999999999,0.77250688571426,0.6399999999999999
163491360,164,17,2,5,6,0.15605211097128546,0.15806935860320373,0.5501999587005617,0.46503496503496516,0.5149201649301998,0.34096916299559477
163629705,171,92,7,6,6,0.20850197825496325,0.20868118559451954,0.37321919858006325,0.21607722532280849,0.3434222503381082,0.19949119957812472
163674521,219,158,5,2,2,0.3271815734403961,0.3271815734403961,0.5431834486084184,0.4053610781050869,0.5431834486084184,0.4053610781050869
16421962,56,22,6,6,6,0.3937403193932597,0.3961081735476865,0.8612386110155781,0.6570155902004454,0.8612386110155781,0.6570155902004454
165598423,177,105,14,4,5,0.2094680806206781,0.21027022895935232,0.12895828940296106,0.06338888582175366,0.1593890918840208,0.07181131063525518
165786567,237,42,3,6,7,0.4319396785337271,0.4336691553130367,0.6418508450248716,0.5071551230681166,0.6198087882650303,0.4760151694572271
16591188,130,67,3,5,5,0.41517339615057036,0.4163178096837113,0.34032850478691135,0.3391685604189313,0.3123406359245457,0.321516072489456
